[2025-02-03 20:50:33,584: INFO: main: Welcome to out custom log]
[2025-02-07 10:52:00,299: INFO: main: Welcome to out custom log]
[2025-02-07 10:53:08,700: INFO: main: Welcome to out custom log]
[2025-02-08 19:36:53,116: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-08 19:36:53,126: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-08 19:36:53,128: INFO: common: created directory at: artifacts]
[2025-02-08 19:36:53,129: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-08 19:36:53,131: INFO: 4129221895: Downloading data from https://drive.google.com/file/d/1H73jaZiYZkCWoRPUC8ffjGcnmVesWBQU/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-08 19:37:08,264: INFO: 4129221895: Downloaded data from https://drive.google.com/file/d/1H73jaZiYZkCWoRPUC8ffjGcnmVesWBQU/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-08 20:05:09,185: INFO: main: >>>>> stage Data Ingestion stage started <<<<<<<<]
[2025-02-08 20:05:09,186: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-08 20:05:09,187: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-08 20:05:09,188: INFO: common: created directory at: artifacts]
[2025-02-08 20:05:09,188: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-08 20:05:09,188: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1H73jaZiYZkCWoRPUC8ffjGcnmVesWBQU/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-08 20:05:46,598: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1H73jaZiYZkCWoRPUC8ffjGcnmVesWBQU/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-08 20:05:47,017: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<<<<]
